Step,BLOB_EnsembleEnsemble_BLOB_branin_20250514_214108 - best_value,CSV_VBLL_branin_dense_precision_multirank_20250514_213042 - best_value,CSV_BLOB_branin_20250514_201819 - best_value,CSV_VBLL_branin_dense_precision_multirank_20250514_184208 - best_value,CSV_BLOB_branin_20250514_182545 - best_value,branin_mlp_20250514_182027 - best_value,branin_mlp_20250514_181650 - best_value,DeepEnsemble_branin_std_20250514_153152 - best_value,DeepEnsemble_branin_std_20250514_150500 - best_value,BLOB_EnsembleEnsemble_BLOB_branin_20250514_123208 - best_value,CSV_BLOB_branin_20250514_121019 - best_value
21,,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,,186.7223899
22,130.7436392,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,164.9558298,186.7223899
23,,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,136.8559002,141.9191229,,186.7223899
24,130.7436392,124.7048483,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,136.8559002,141.9191229,164.9558298,186.7223899
25,,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,141.9191229,,186.7223899
26,130.7436392,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,141.9191229,164.9558298,186.7223899
27,,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,141.9191229,,143.1178251
28,130.7436392,124.7048483,145.4595854,120.1020561,124.51194,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,143.1178251
29,,124.7048483,136.657628,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,143.1178251
30,130.7436392,124.7048483,136.657628,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,143.1178251
31,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
32,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,136.6597927
33,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
34,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,136.6597927
35,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
36,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,164.9558298,136.6597927
37,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
38,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,163.7701147,136.6597927
39,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,,136.6597927
40,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,136.8559002,130.7436392,163.7701147,136.6597927
41,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,136.6597927
42,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,163.7701147,136.6597927
43,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
44,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
45,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,,129.8254836
46,,124.7048483,135.5672697,120.1020561,121.1617761,110.1073731,119.021178,120.0392213,130.7436392,145.9997176,129.8254836
