Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
49,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
50,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
51,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
52,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
53,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
54,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
55,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
56,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
57,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
58,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
